model,power,prop_na,sample_size,cutpoints,beta_t,beta_tx,beta_t_tx,rand_intercept_sd,rand_slope_sd,n_sim,datetime
cox_spline2_state1,0.204,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
cox_prop_state12,0.232,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
cox_spline2_state12,0.13,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
cox_prop_state123,0.166,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
cox_spline2_state123,0.1,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
otm,1,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
otm_rand_int,1,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
rand_int,1,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
free_days8,0.082,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
free_days78,0.226,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
free_days678,0.464,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
free_days5678,0.764,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
free_days45678,0.99,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
free_days345678,0.996,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
free_days2345678,1,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
ppo_3,0.15,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
ppo_7,0.178,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
ppo_14,0.272,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
ppo_21,0.322,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
ppo_28,0.348,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
cox_prop_state1,0.604,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
cox_spline2_state1,0.424,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
cox_prop_state12,0.388,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
cox_spline2_state12,0.242,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
cox_prop_state123,0.304,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
cox_spline2_state123,0.162,0,200,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T02:35:51Z
otm,1,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
otm_rand_int,1,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
rand_int,1,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
free_days8,0.108,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
free_days78,0.286,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
free_days678,0.62,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
free_days5678,0.898,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
free_days45678,1,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
free_days345678,1,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
free_days2345678,1,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
ppo_3,0.172,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
ppo_7,0.244,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
ppo_14,0.364,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
ppo_21,0.464,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
ppo_28,0.5,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
cox_prop_state1,0.752,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
cox_spline2_state1,0.584,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
cox_prop_state12,0.47,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
cox_spline2_state12,0.294,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
cox_prop_state123,0.396,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
cox_spline2_state123,0.228,0,300,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-30T11:14:44Z
otm,1,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
otm_rand_int,1,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
rand_int,1,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
free_days8,0.11,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
free_days78,0.422,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
free_days678,0.782,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
free_days5678,0.976,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
free_days45678,1,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
free_days345678,1,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
free_days2345678,1,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
ppo_3,0.24,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
ppo_7,0.28,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
ppo_14,0.4,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
ppo_21,0.586,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
ppo_28,0.562,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
cox_prop_state1,0.862,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
cox_spline2_state1,0.716,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
cox_prop_state12,0.652,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
cox_spline2_state12,0.458,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
cox_prop_state123,0.544,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
cox_spline2_state123,0.286,0,400,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T00:35:27Z
otm,0.04,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
otm_rand_int,0.038,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
rand_int,0.038,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
free_days8,0.094,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
